City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Kasangulu,CD,72.54,light rain,-4.5911,15.1708,No hotel found
433,Champerico,GT,82.89,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
435,Lakes Entrance,AU,75.16,broken clouds,-37.8811,147.981,Banjo Patterson Motor Inn
436,Esmeraldas,BR,74.26,light rain,-19.7625,-44.3139,No hotel found
437,Weligama,LK,77.47,overcast clouds,5.9667,80.4167,Basecamp
441,Amahai,ID,84.36,overcast clouds,-3.3333,128.9167,No hotel found
444,Hervey Bay,AU,78.8,light rain,-25.2986,152.8535,Hervey Bay Hotel
449,Bosaso,SO,80.82,clear sky,11.2842,49.1816,Bosaso hotel
452,Kulhudhuffushi,MV,82.11,overcast clouds,6.6221,73.07,No hotel found
456,Mahajanga,MG,75.22,scattered clouds,-15.7167,46.3167,Vahiny Hotel
463,Byron Bay,AU,77.94,overcast clouds,-28.65,153.6167,Lord Byron Resort
464,Maicao,CO,76.62,broken clouds,11.3832,-72.2432,Hotel Las Dunas
466,Tete,MZ,71.69,scattered clouds,-16.1564,33.5867,Zambezi Hotel
468,Sur,OM,79.65,clear sky,22.5667,59.5289,Sur Hotel
472,Airai,TL,71.22,overcast clouds,-8.9266,125.4092,No hotel found
477,Umuarama,BR,70.18,clear sky,-23.7664,-53.325,Ibis Styles
479,Faranah,GN,74.73,scattered clouds,10.0404,-10.7434,Hotel Selima
480,Kirakira,SB,82.6,broken clouds,-10.4544,161.9205,No hotel found
481,Kalavad,IN,73.96,clear sky,22.2167,70.3833,No hotel found
482,Manuk Mangkaw,PH,81.93,broken clouds,4.8,119.85,No hotel found
483,Luanda,AO,78.8,light rain,-8.8368,13.2343,Hotel Forum
484,Batticaloa,LK,80.11,overcast clouds,7.7102,81.6924,Lake View Hotel
485,Dzidzantun,MX,70.7,clear sky,21.25,-89.05,Hotel Hacienda San Francisco
486,Viru,PE,78.44,overcast clouds,-8.4167,-78.75,No hotel found
494,Jalu,LY,71.26,overcast clouds,29.0331,21.5482,فندق جالو السياحي
495,Mitsamiouli,KM,80.74,overcast clouds,-11.3847,43.2844,Hotel le Paradis
499,Olinda,BR,74.93,light rain,-8.0089,-34.8553,Fidji Motel
500,Itupiranga,BR,73.72,overcast clouds,-5.1347,-49.3267,No hotel found
501,Samarai,PG,86.49,broken clouds,-10.6167,150.6667,No hotel found
506,Namibe,AO,71.89,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
509,Wagga Wagga,AU,71.08,overcast clouds,-35.1167,147.3667,The Astor
510,Gao,ML,70.95,clear sky,16.6362,1.637,No hotel found
511,San Pedro,PH,87.03,few clouds,14.35,121.0167,Hotel Takara
513,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Prainha
514,Carauari,BR,74.16,scattered clouds,-4.8828,-66.8958,No hotel found
516,Viramgam,IN,77.54,clear sky,23.1225,72.0484,No hotel found
517,San Patricio,US,71.69,overcast clouds,28.017,-97.5169,No hotel found
519,Capanema,BR,72.05,light rain,-1.1958,-47.1808,No hotel found
520,Codrington,AU,72.48,clear sky,-38.2667,141.9667,No hotel found
523,Nanakuli,US,84.15,light rain,21.3906,-158.1547,No hotel found
524,Kudahuvadhoo,MV,82.08,overcast clouds,2.6708,72.8944,No hotel found
528,Nioro,GM,72.61,few clouds,13.35,-15.75,No hotel found
529,Ribas Do Rio Pardo,BR,70.59,light rain,-20.4431,-53.7592,Hotel São Francisco
532,Tambopata,PE,73.17,overcast clouds,-12.7333,-69.1833,No hotel found
535,Bilma,NE,76.68,few clouds,18.6853,12.9164,No hotel found
536,Jeremie,HT,76.32,clear sky,18.65,-74.1167,Delivrance Hotel
537,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Deyna's City Inn
540,Nambour,AU,78.87,overcast clouds,-26.6333,152.95,No hotel found
542,Guilin,CN,82.51,clear sky,25.2819,110.2864,丰源酒店
543,Honiara,SB,84.24,overcast clouds,-9.4333,159.95,King Solomon Hotel
545,Pangai,TO,86.11,few clouds,-19.8,-174.35,Billy's Place
549,Oranjestad,AW,78.91,few clouds,12.524,-70.027,Hotel California
550,Rosa Zarate,EC,74.59,overcast clouds,0.3333,-79.4667,Hotel Sans
551,Kaeo,NZ,71.33,clear sky,-35.1,173.7833,No hotel found
553,Poum,NC,79.84,overcast clouds,-20.2333,164.0167,No hotel found
554,Jacqueville,CI,80.56,light rain,5.2052,-4.4146,Complexe hôtelier Grand Roi
556,Corpus Christi,US,71.83,overcast clouds,27.8006,-97.3964,Omni Corpus Christi Hotel
557,Richards Bay,ZA,74.23,overcast clouds,-28.783,32.0377,Protea Hotel
562,Jambi,ID,87.1,scattered clouds,-1.6,103.6167,Hotel Odua Weston Jambi
565,Sao Jose Da Coroa Grande,BR,75.38,light rain,-8.8978,-35.1478,Hotel do Sol
567,Datia,IN,72.73,clear sky,25.6667,78.4667,Hotel Forbew
568,Piacabucu,BR,76.37,overcast clouds,-10.4056,-36.4344,O Leão
574,Santa Maria,BR,72.7,scattered clouds,-29.6842,-53.8069,Hotel Morotin
583,Puerto Carreno,CO,82.45,scattered clouds,6.189,-67.4859,Carreño Plaza
584,Vallenar,CL,70.72,clear sky,-28.5708,-70.7581,Hotel del Marqués
585,Sao Joao Do Piaui,BR,70.36,overcast clouds,-8.3581,-42.2467,Hotel Esplanada
589,Sao Borja,BR,76.95,broken clouds,-28.6606,-56.0044,Hotel Obino
